epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,151.274,0.8633,1.67421,0.73827,1.26637,0.84028,0.87781,0.9002,0.71921,0.83879,0.8867,0.9025,0.67999,0.73162,1.37737,0.62736,1.17092,0.000922942,0.000922942,0.000922942
56,152.892,0.89915,1.75294,0.73708,1.29814,0.88728,0.86058,0.91826,0.72311,0.88065,0.85415,0.90674,0.67765,0.75673,1.43076,0.63054,1.17741,0.000920142,0.000920142,0.000920142
57,155.717,0.80111,1.413,0.67567,1.20334,0.86905,0.86495,0.92455,0.73119,0.86188,0.85852,0.9178,0.69517,0.73774,1.37294,0.62356,1.16259,0.000917296,0.000917296,0.000917296
58,158.572,0.89153,1.62361,0.71541,1.27112,0.88007,0.85209,0.91472,0.72001,0.87214,0.85538,0.91226,0.7016,0.72778,1.35361,0.63132,1.15203,0.000914405,0.000914405,0.000914405
59,161.359,0.82489,1.27309,0.63323,1.19104,0.87643,0.85209,0.91578,0.7296,0.87312,0.84887,0.92149,0.705,0.7211,1.41829,0.64104,1.1515,0.000911469,0.000911469,0.000911469
60,164.36,0.81379,1.40053,0.63969,1.19999,0.86217,0.88499,0.9202,0.73597,0.869,0.87449,0.92486,0.7093,0.74094,1.44156,0.63496,1.15597,0.000908488,0.000908488,0.000908488
61,167.095,0.83579,1.46025,0.64298,1.21422,0.85696,0.88616,0.91559,0.73904,0.85718,0.89068,0.92117,0.72441,0.73063,1.37612,0.61562,1.1421,0.000905463,0.000905463,0.000905463
62,169.732,0.80014,1.3883,0.62038,1.18548,0.89433,0.81994,0.90203,0.71754,0.89783,0.82315,0.90676,0.70443,0.76479,1.37431,0.64162,1.16438,0.000902395,0.000902395,0.000902395
63,172.293,0.86216,1.4732,0.67397,1.24921,0.86329,0.8325,0.89334,0.698,0.85997,0.83923,0.89406,0.67952,0.78081,1.4026,0.68317,1.17947,0.000899282,0.000899282,0.000899282
64,175.024,0.78836,1.38303,0.64461,1.18331,0.83166,0.83923,0.89102,0.69819,0.85498,0.82315,0.89501,0.68502,0.77484,1.35982,0.68331,1.18291,0.000896127,0.000896127,0.000896127
