epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
65,384.846,0.28781,0.29527,0.12052,0.003,0.15461,0.84774,0.82145,0.82945,0.65538,0.8378,0.84016,0.82905,0.66899,0.85059,1.7705,0.88398,0.00978,0,0.00099556,0.00099556,0.00099556
66,390.569,0.27824,0.25164,0.12476,0.00291,0.14752,0.82112,0.82779,0.84033,0.66248,0.81706,0.82369,0.82904,0.67149,0.84367,1.81155,0.87012,0.00972,0,0.00099542,0.00099542,0.00099542
67,396.295,0.28476,0.2444,0.13968,0.00289,0.15721,0.81074,0.80738,0.812,0.62545,0.80114,0.79253,0.79178,0.63947,0.87086,1.8508,0.89875,0.0102,0,0.000995278,0.000995278,0.000995278
68,402.099,0.3319,0.23756,0.13134,0.00334,0.16126,0.82383,0.79508,0.81161,0.63271,0.81534,0.78689,0.79332,0.6534,0.85308,1.80379,0.92911,0.00977,0,0.000995134,0.000995134,0.000995134
69,407.916,0.37272,0.25529,0.1483,0.00422,0.14807,0.84371,0.81148,0.82663,0.64331,0.85424,0.79264,0.80959,0.64823,0.89529,1.79549,0.85584,0.01035,0,0.000994988,0.000994988,0.000994988
70,413.606,0.32363,0.22328,0.12234,0.00351,0.13611,0.84619,0.81148,0.79712,0.60667,0.83773,0.80402,0.79328,0.62916,0.89915,1.78172,0.97934,0.01059,0,0.00099484,0.00099484,0.00099484
71,419.27,0.36224,0.25827,0.14517,0.00392,0.19174,0.85406,0.78689,0.80517,0.6264,0.84961,0.78279,0.80016,0.63708,0.89647,1.72879,0.96928,0.01053,0,0.00099469,0.00099469,0.00099469
72,425.008,0.30892,0.22465,0.12025,0.00315,0.13502,0.84079,0.82377,0.82405,0.64827,0.84079,0.82377,0.81576,0.66543,0.85448,1.65598,0.92129,0.00982,0,0.000994537,0.000994537,0.000994537
73,430.722,0.30162,0.22135,0.12379,0.00303,0.12101,0.8409,0.79918,0.81939,0.64691,0.8409,0.79918,0.81672,0.66351,0.8932,1.70033,0.87874,0.01041,0,0.000994383,0.000994383,0.000994383
74,436.451,0.28246,0.24061,0.11498,0.00304,0.12681,0.83371,0.79098,0.80937,0.63425,0.82939,0.78689,0.80138,0.6568,0.88034,1.70855,0.96793,0.01035,0,0.000994226,0.000994226,0.000994226
75,442.18,0.2467,0.20433,0.10334,0.00253,0.11402,0.83067,0.81557,0.82893,0.65566,0.83859,0.79508,0.81968,0.68107,0.85666,1.72482,0.89488,0.01011,0,0.000994067,0.000994067,0.000994067
76,447.686,0.24218,0.21739,0.11013,0.00244,0.12141,0.83437,0.81967,0.83236,0.65123,0.82602,0.81148,0.82117,0.68271,0.85987,1.72489,0.90083,0.01018,0,0.000993906,0.000993906,0.000993906
77,453.236,0.27018,0.19988,0.11308,0.00267,0.11456,0.83019,0.80328,0.8126,0.62296,0.81748,0.79098,0.79796,0.65673,0.9036,1.81638,0.91941,0.01064,0,0.000993742,0.000993742,0.000993742
78,458.828,0.29315,0.20405,0.11288,0.00284,0.11439,0.82399,0.81148,0.79903,0.61834,0.81567,0.80328,0.78229,0.64625,0.92075,1.85108,0.93238,0.01091,0,0.000993577,0.000993577,0.000993577
79,464.343,0.29481,0.21602,0.12204,0.00294,0.12813,0.82506,0.79918,0.7955,0.62218,0.82506,0.79918,0.7894,0.63793,0.90026,1.82291,0.94376,0.01067,0,0.00099341,0.00099341,0.00099341
80,470.01,0.24371,0.19354,0.09709,0.00229,0.1038,0.83796,0.81148,0.79568,0.61712,0.83796,0.81148,0.78886,0.64219,0.91332,1.79983,0.97408,0.0108,0,0.00099324,0.00099324,0.00099324
81,475.554,0.28841,0.2119,0.12032,0.00295,0.11549,0.84905,0.81557,0.80084,0.61688,0.84559,0.80797,0.79774,0.65021,0.90565,1.86657,0.93507,0.01082,0,0.000993068,0.000993068,0.000993068
82,481.083,0.27661,0.18722,0.11405,0.00277,0.10724,0.87986,0.79098,0.81266,0.61945,0.8753,0.78689,0.80235,0.63873,0.90248,1.97714,0.91883,0.01073,0,0.000992894,0.000992894,0.000992894
83,486.714,0.27537,0.18516,0.10805,0.00292,0.10525,0.84255,0.82787,0.81646,0.61523,0.83397,0.81967,0.79559,0.64169,0.91182,1.97423,0.96708,0.01085,0,0.000992718,0.000992718,0.000992718
84,492.28,0.27378,0.17543,0.10642,0.00266,0.09532,0.85373,0.81334,0.80559,0.60812,0.83653,0.79695,0.77508,0.62771,0.90377,1.99345,0.91884,0.01075,0,0.00099254,0.00099254,0.00099254
85,497.87,0.25611,0.16831,0.1025,0.00237,0.09377,0.8233,0.81967,0.79911,0.60947,0.80589,0.80328,0.77015,0.6281,0.89061,2.00391,0.96144,0.01063,0,0.000992359,0.000992359,0.000992359
