epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
38,59.3264,0.22967,0.41413,0.32595,0.78463,0,0.83393,0.81967,0.85582,0.66411,0.82216,0.81967,0.84856,0.6576,0.77077,1.8985,0.81908,1.1574,0,0.000998514,0.000998514,0.000998514
39,60.6961,0.22119,0.41741,0.31462,0.78616,0,0.83795,0.82377,0.85968,0.66635,0.84176,0.80667,0.85055,0.6574,0.73866,1.83252,0.83164,1.14845,0,0.000998433,0.000998433,0.000998433
40,62.0416,0.24095,0.41686,0.32507,0.78811,0,0.81743,0.82575,0.85411,0.65334,0.8185,0.80738,0.84276,0.64421,0.79237,1.86954,0.8363,1.19441,0,0.00099835,0.00099835,0.00099835
41,63.3905,0.24833,0.43669,0.3199,0.787,0,0.84702,0.81148,0.85734,0.64597,0.82974,0.79508,0.83612,0.63532,0.77945,1.84748,0.84155,1.18209,0,0.000998264,0.000998264,0.000998264
42,64.8264,0.22634,0.39568,0.3134,0.78308,0,0.84471,0.82484,0.86484,0.66417,0.82445,0.81557,0.8451,0.66566,0.75473,1.80823,0.81966,1.15185,0,0.000998176,0.000998176,0.000998176
43,66.1721,0.2098,0.40682,0.30089,0.78261,0,0.79197,0.85656,0.86312,0.66577,0.81384,0.83197,0.85177,0.66041,0.74796,1.83422,0.82392,1.14647,0,0.000998086,0.000998086,0.000998086
44,67.7297,0.21585,0.37727,0.29368,0.78313,0,0.80164,0.84016,0.86147,0.67029,0.80555,0.84426,0.85307,0.66385,0.73041,1.89094,0.82275,1.13785,0,0.000997994,0.000997994,0.000997994
45,69.1293,0.19272,0.38166,0.28603,0.78172,0,0.807,0.83969,0.84924,0.67044,0.79106,0.83607,0.84222,0.65916,0.72884,1.86826,0.8435,1.13425,0,0.0009979,0.0009979,0.0009979
46,70.4674,0.193,0.36937,0.27534,0.78017,0,0.81934,0.81786,0.85433,0.67448,0.78986,0.84725,0.85166,0.6618,0.73422,1.87675,0.83733,1.13102,0,0.000997803,0.000997803,0.000997803
47,71.8562,0.18173,0.3555,0.27179,0.77802,0,0.85726,0.81967,0.85564,0.67067,0.85297,0.81557,0.84956,0.66911,0.7662,1.87665,0.81444,1.16357,0,0.000997705,0.000997705,0.000997705
48,73.1631,0.20021,0.35431,0.27799,0.77911,0,0.83158,0.84016,0.85836,0.67127,0.82322,0.83197,0.84681,0.66254,0.74658,1.90013,0.79704,1.14987,0,0.000997604,0.000997604,0.000997604
49,74.484,0.18052,0.33848,0.27634,0.78002,0,0.80712,0.85751,0.86306,0.67278,0.79574,0.84622,0.84837,0.65937,0.74713,1.98407,0.81255,1.14774,0,0.000997501,0.000997501,0.000997501
50,75.9499,0.19991,0.3393,0.26824,0.78026,0,0.80915,0.85656,0.85232,0.65978,0.7969,0.85227,0.83669,0.64732,0.7557,1.95099,0.82092,1.15816,0,0.000997396,0.000997396,0.000997396
51,77.3033,0.19099,0.36838,0.26346,0.77726,0,0.83465,0.84818,0.86003,0.65729,0.82321,0.83607,0.83965,0.63855,0.76809,1.94574,0.81108,1.17845,0,0.000997288,0.000997288,0.000997288
52,78.6611,0.19194,0.34942,0.25545,0.77624,0,0.85275,0.84426,0.86202,0.65709,0.84427,0.83607,0.84309,0.6447,0.76794,1.90599,0.82072,1.1729,0,0.000997179,0.000997179,0.000997179
53,80.0513,0.2,0.39716,0.34357,0.78377,0,0.81745,0.84418,0.84696,0.65396,0.80988,0.83802,0.82977,0.64331,0.7465,2.03946,0.80562,1.14557,0,0.000997067,0.000997067,0.000997067
54,81.3817,0.17724,0.35064,0.24712,0.77775,0,0.81587,0.85351,0.84777,0.65666,0.78831,0.85469,0.83183,0.6435,0.73724,1.9935,0.7983,1.14817,0,0.000996954,0.000996954,0.000996954
55,82.7756,0.16183,0.32234,0.23544,0.7719,0,0.85277,0.83083,0.85259,0.65373,0.82753,0.80624,0.83486,0.64578,0.75163,1.95844,0.79498,1.16158,0,0.000996838,0.000996838,0.000996838
56,84.115,0.17025,0.31542,0.23546,0.77368,0,0.80785,0.86066,0.84471,0.65893,0.79298,0.85656,0.83161,0.6448,0.73975,1.86167,0.79209,1.14517,0,0.00099672,0.00099672,0.00099672
57,85.6877,0.17665,0.31211,0.23522,0.77314,0,0.81892,0.85656,0.85474,0.66918,0.78021,0.85838,0.83776,0.65728,0.72938,1.83782,0.78525,1.12843,0,0.000996599,0.000996599,0.000996599
58,87.0377,0.16818,0.30041,0.23125,0.77061,0,0.82103,0.84605,0.86196,0.66466,0.81705,0.84195,0.85093,0.65429,0.73431,1.95154,0.79427,1.14557,0,0.000996477,0.000996477,0.000996477
59,88.4142,0.16649,0.30716,0.23084,0.77156,0,0.83422,0.84554,0.86348,0.66073,0.82209,0.83324,0.84129,0.64995,0.74545,2.02848,0.80283,1.15713,0,0.000996352,0.000996352,0.000996352
60,89.8244,0.16336,0.30788,0.22786,0.77752,0,0.84262,0.83607,0.8543,0.65725,0.81167,0.84782,0.83643,0.6488,0.72135,2.04162,0.77813,1.13686,0,0.000996226,0.000996226,0.000996226
61,91.1511,0.15821,0.29027,0.22545,0.77293,0,0.83369,0.86475,0.85074,0.64944,0.81687,0.85921,0.83609,0.64074,0.7339,2.095,0.77365,1.15513,0,0.000996097,0.000996097,0.000996097
62,92.5275,0.15973,0.28071,0.21996,0.77506,0,0.84233,0.85388,0.85184,0.65086,0.81536,0.87295,0.83775,0.63709,0.74342,2.07253,0.77303,1.15537,0,0.000995966,0.000995966,0.000995966
63,94.0667,0.15035,0.26482,0.21036,0.76862,0,0.84212,0.84426,0.85287,0.65464,0.8212,0.84704,0.83769,0.64393,0.74785,2.05616,0.76632,1.15892,0,0.000995833,0.000995833,0.000995833
64,95.4452,0.16235,0.28008,0.21447,0.77262,0,0.81746,0.8626,0.84926,0.65485,0.80969,0.8544,0.83817,0.64381,0.73714,2.08506,0.7814,1.14674,0,0.000995697,0.000995697,0.000995697
65,96.8092,0.16046,0.27334,0.21646,0.77004,0,0.84235,0.82377,0.85222,0.66582,0.80779,0.84398,0.83803,0.6459,0.73429,2.11854,0.75705,1.1483,0,0.00099556,0.00099556,0.00099556
66,98.1797,0.15223,0.28497,0.20766,0.77135,0,0.86211,0.81993,0.85216,0.66659,0.84921,0.80782,0.83937,0.64981,0.73476,2.07583,0.75889,1.15302,0,0.00099542,0.00099542,0.00099542
67,99.5708,0.1588,0.28398,0.26511,0.77294,0,0.8243,0.84602,0.84606,0.67038,0.81229,0.84426,0.84483,0.65457,0.72223,1.99558,0.77223,1.15138,0,0.000995278,0.000995278,0.000995278
68,100.928,0.15262,0.26032,0.21151,0.77146,0,0.81531,0.86066,0.85287,0.67163,0.8034,0.84836,0.84213,0.66102,0.71808,1.925,0.76948,1.14351,0,0.000995134,0.000995134,0.000995134
69,102.291,0.13505,0.26015,0.1963,0.77178,0,0.82748,0.84527,0.84177,0.64989,0.81946,0.83708,0.83786,0.63127,0.74398,2.05939,0.79447,1.15497,0,0.000994988,0.000994988,0.000994988
70,103.816,0.13927,0.25862,0.19956,0.76853,0,0.83056,0.84836,0.84552,0.66041,0.81883,0.83607,0.84414,0.6379,0.71447,2.03765,0.79331,1.1342,0,0.00099484,0.00099484,0.00099484
71,105.14,0.13746,0.26063,0.19269,0.77228,0,0.83152,0.84426,0.84853,0.66113,0.81079,0.82541,0.83011,0.64196,0.70404,2.01278,0.7861,1.12683,0,0.00099469,0.00099469,0.00099469
72,106.501,0.13671,0.2436,0.19045,0.76654,0,0.80835,0.85246,0.8506,0.6669,0.79669,0.84016,0.84034,0.64342,0.71334,2.03159,0.78994,1.14125,0,0.000994537,0.000994537,0.000994537
73,107.836,0.12882,0.23388,0.18353,0.7709,0,0.83284,0.8372,0.8548,0.66927,0.82471,0.82915,0.84528,0.64229,0.71775,2.07293,0.78377,1.14944,0,0.000994383,0.000994383,0.000994383
74,109.175,0.12724,0.24111,0.18347,0.76982,0,0.82639,0.83885,0.85166,0.66547,0.83135,0.80738,0.83923,0.64478,0.71894,2.13811,0.7954,1.14532,0,0.000994226,0.000994226,0.000994226
75,110.526,0.12447,0.23059,0.18701,0.7664,0,0.83987,0.84426,0.85443,0.66966,0.84055,0.82787,0.84596,0.64876,0.74396,2.10644,0.76438,1.17084,0,0.000994067,0.000994067,0.000994067
76,112.019,0.13514,0.23392,0.18176,0.76756,0,0.84695,0.84426,0.8632,0.67237,0.83897,0.83274,0.85406,0.65375,0.73906,2.10442,0.75499,1.16246,0,0.000993906,0.000993906,0.000993906
77,113.411,0.13749,0.22904,0.1828,0.76927,0,0.83679,0.84049,0.86213,0.67097,0.84617,0.79918,0.85079,0.65421,0.73544,2.20543,0.76226,1.14593,0,0.000993742,0.000993742,0.000993742
78,114.76,0.13354,0.22883,0.1788,0.76713,0,0.81744,0.85656,0.86142,0.67515,0.85198,0.81148,0.85303,0.65155,0.72802,2.18876,0.76738,1.14296,0,0.000993577,0.000993577,0.000993577
79,116.108,0.13656,0.24891,0.22996,0.76949,0,0.84196,0.84426,0.86009,0.66895,0.83575,0.83607,0.84992,0.64794,0.72661,2.22397,0.77825,1.14715,0,0.00099341,0.00099341,0.00099341
80,117.494,0.12671,0.22299,0.17017,0.76786,0,0.84359,0.83995,0.85308,0.66209,0.83716,0.82169,0.84062,0.64247,0.7343,2.28947,0.77875,1.1637,0,0.00099324,0.00099324,0.00099324
81,118.826,0.12531,0.23578,0.17745,0.76854,0,0.8537,0.83703,0.85442,0.66304,0.83281,0.83197,0.84272,0.64129,0.74713,2.26035,0.77266,1.18858,0,0.000993068,0.000993068,0.000993068
